zone_id,timezone_code,timezone_gap,timezone_name_e
Europe/Istanbul,TRT,+03:00,"Turkey Time - Istanbul, Ankara, Bursa, İzmir"
Asia/Tehran,IRST,+03:30,"Iran Time - Tehran, Mashhad, Isfahan, Karaj"
Asia/Yerevan,AMT,+04:00,"Armenia Time - Yerevan, Gyumri, Vanadzor, Vagharshapat"
Asia/Baku,AZT,+04:00,"Azerbaijan Time - Baku, Sumqayıt, Ganja, Lankaran"
Asia/Tbilisi,GET,+04:00,"Georgia Time - Tbilisi, Batumi, Kutaisi, Rustavi"
Asia/Dubai,GST,+04:00,"Gulf Time - Dubai, Sharjah, Al Ain City, Abu Dhabi"
Asia/Muscat,GST,+04:00,"Gulf Time - Muscat, Seeb, Bawshar, ‘Ibrī"
Indian/Mauritius,MUT,+04:00,"Mauritius Time - Port Louis, Vacoas, Beau Bassin-Rose Hill, Curepipe"
Indian/Reunion,RET,+04:00,"Réunion Time - Saint-Denis, Saint-Paul, Le Tampon, Saint-Pierre"
Europe/Samara,SAMT,+04:00,"Samara Time - Samara, Saratov, Tolyatti, Izhevsk"
Indian/Mahe,SCT,+04:00,Seychelles Time - Victoria
Asia/Kabul,AFT,+04:30,"Afghanistan Time - Kabul, Herāt, Mazār-e Sharīf, Kandahār"
Indian/Kerguelen,FSAT,+05:00,French Southern & Antarctic Time - Port-aux-Français
Indian/Maldives,MVT,+05:00,Maldives Time - Male
Antarctica/Mawson,MAWT,+05:00,Mawson Time - Mawson
Asia/Karachi,PKT,+05:00,"Pakistan Time - Karachi, Lahore, Faisalabad, Rawalpindi"
Asia/Dushanbe,TJT,+05:00,"Tajikistan Time - Dushanbe, Isfara, Istaravshan, Kŭlob"
Asia/Ashgabat,TMT,+05:00,"Turkmenistan Time - Ashgabat, Türkmenabat, Daşoguz, Mary"
Asia/Tashkent,UZT,+05:00,"Uzbekistan Time - Tashkent, Namangan, Samarkand, Andijon"
Asia/Aqtobe,AQTT,+05:00,"West Kazakhstan Time - Aktobe, Kyzylorda, Oral, Atyrau"
Asia/Yekaterinburg,YEKT,+05:00,"Yekaterinburg Time - Yekaterinburg, Chelyabinsk, Ufa, Perm"
Asia/Colombo,IST,+05:30,"India Time - Colombo, Dehiwala-Mount Lavinia, Maharagama, Jaffna"
Asia/Kolkata,IST,+05:30,"India Time - Mumbai, Delhi, Bengaluru, Hyderābād"
Asia/Kathmandu,NPT,+05:45,"Nepal Time - Kathmandu, Bharatpur, Pātan, Birgañj"
Asia/Dhaka,BST,+06:00,"Bangladesh Time - Dhaka, Chattogram, Khulna, Rangpur"
Asia/Thimphu,BTT,+06:00,"Bhutan Time - Thimphu, Phuntsholing, Tsirang, Punākha"
Asia/Urumqi,CST,+06:00,"China Time - Ürümqi, Shihezi, Korla, Aksu"
Asia/Almaty,ALMT,+06:00,"East Kazakhstan Time - Almaty, Shymkent, Karagandy, Taraz"
Indian/Chagos,IOT,+06:00,Indian Ocean Time - Chagos
Asia/Bishkek,KGT,+06:00,"Kyrgyzstan Time - Bishkek, Osh, Jalal-Abad, Karakol"
Asia/Omsk,OMST,+06:00,"Omsk Time - Omsk, Tara, Kalachinsk"
Antarctica/Vostok,VOST,+06:00,Vostok Time - Vostok
Indian/Cocos,CCT,+06:30,Cocos Islands Time - West Island
Asia/Yangon,MMT,+06:30,"Myanmar Time - Yangon, Mandalay, Nay Pyi Taw, Mawlamyine"
Indian/Christmas,CXT,+07:00,Christmas Island Time - Flying Fish Cove
Antarctica/Davis,DAVT,+07:00,Davis Time - Davis
Asia/Hovd,HOVT,+07:00,"Hovd Time - Ulaangom, Khovd, Ölgii, Altai"
Asia/Bangkok,ICT,+07:00,"Indochina Time - Bangkok, Samut Prakan, Mueang Nonthaburi, Udon Thani"
Asia/Ho_Chi_Minh,ICT,+07:00,"Indochina Time - Ho Chi Minh City, Da Nang, Biên Hòa, Cần Thơ"
Asia/Phnom_Penh,ICT,+07:00,"Indochina Time - Phnom Penh, Takeo, Siem Reap, Battambang"
Asia/Vientiane,ICT,+07:00,"Indochina Time - Vientiane, Savannakhet, Pakse, Thakhèk"
Asia/Novosibirsk,NOVT,+07:00,"Novosibirsk Time - Novosibirsk, Krasnoyarsk, Barnaul, Tomsk"
Asia/Jakarta,WIB,+07:00,"Western Indonesia Time - Jakarta, Surabaya, Bekasi, Bandung"
Australia/Perth,AWST,+08:00,"Australian Western Time - Perth, Mandurah, Bunbury, Baldivis"
Asia/Brunei,BNT,+08:00,"Brunei Darussalam Time - Bandar Seri Begawan, Kuala Belait, Seria, Tutong"
Asia/Makassar,WITA,+08:00,"Central Indonesia Time - Makassar, Samarinda, Denpasar, Balikpapan"
Asia/Macau,CST,+08:00,China Time - Macau
Asia/Shanghai,CST,+08:00,"China Time - Shanghai, Beijing, Shenzhen, Guangzhou"
Asia/Hong_Kong,HKT,+08:00,"Hong Kong Time - Hong Kong, Kowloon, Victoria, Tuen Mun"
Asia/Irkutsk,IRKT,+08:00,"Irkutsk Time - Irkutsk, Ulan-Ude, Bratsk, Angarsk"
Asia/Kuala_Lumpur,MYT,+08:00,"Malaysia Time - Kuala Lumpur, Petaling Jaya, Klang, Johor Bahru"
Asia/Manila,PHT,+08:00,"Philippine Time - Quezon City, Davao, Manila, Caloocan City"
Asia/Singapore,SGT,+08:00,"Singapore Time - Singapore, Woodlands, Geylang, Queenstown Estate"
Asia/Taipei,TWT,+08:00,"Taipei Time - Taipei, Kaohsiung, Taichung, Tainan"
Asia/Ulaanbaatar,ULAT,+08:00,"Ulaanbaatar Time - Ulan Bator, Erdenet, Darhan, Mörön"
Australia/Eucla,ACWST,+08:45,Australian Central Western Time - Eucla
Asia/Dili,TLT,+09:00,"East Timor Time - Dili, Maliana, Suai, Likisá"
Asia/Jayapura,WIT,+09:00,"Eastern Indonesia Time - Jayapura, Ambon, Sorong, Ternate"
Asia/Pyongyang,KST,+09:00,"Korean Time - Pyongyang, Hamhŭng, Namp’o, Sunch’ŏn"
Asia/Seoul,KST,+09:00,"Korean Time - Seoul, Busan, Incheon, Daegu"
Pacific/Palau,PWT,+09:00,Palau Time - Ngerulmud
Asia/Chita,YAKT,+09:00,"Yakutsk Time - Chita, Yakutsk, Blagoveshchensk, Belogorsk"
Australia/Adelaide,ACST,+09:30,"Australian Central Time - Adelaide, Adelaide Hills, Mount Gambier, Morphett Vale"
